year,chsa_code,chsa_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2007,1110,Fernie,5,5,4,10,3,5,5,6,4,4,12,17,80
2007,1120,Cranbrook,16,14,18,17,16,22,14,14,24,21,23,20,219
2007,1130,Kimberley,8,5,5,6,9,4,5,5,5,2,2,5,61
2007,1140,Windermere,5,1,3,3,2,4,4,12,4,6,2,2,48
2007,1150,Creston,14,16,13,19,11,4,11,12,8,17,13,7,145
2007,1160,Golden,8,2,6,2,4,3,1,2,6,2,4,4,44
2007,1210,Kootenay Lake,4,1,0,1,2,3,5,9,2,8,3,3,41
2007,1220,Nelson,22,15,22,16,14,10,18,23,21,14,11,23,209
2007,1230,Castlegar,14,17,9,9,6,7,7,15,9,6,12,9,120
2007,1240,Arrow Lakes,5,1,6,5,8,3,6,5,3,1,3,4,50
2007,1250,Trail,21,26,22,21,19,22,22,22,12,16,18,20,241
2007,1260,Grand Forks,13,10,12,12,10,7,6,9,10,3,10,18,120
2007,1270,Kettle Valley,1,1,1,2,3,1,1,1,2,2,6,1,22
2007,1310,Southern Okanagan,19,19,17,19,23,25,26,16,19,16,31,21,251
2007,1320,Penticton,37,45,50,31,43,32,46,40,37,43,31,40,475
2007,1330,Keremeos,7,2,6,5,9,10,2,4,11,2,6,1,65
2007,1340,Princeton,8,5,5,9,3,1,6,5,4,4,7,6,63
2007,1350,Armstrong/Spallumcheen,7,5,14,6,11,2,6,5,4,3,3,5,71
2007,1361,Vernon Centre/Coldstream,52,42,50,54,52,43,40,51,51,40,46,42,563
2007,1362,North Okanagan/Lumby,10,6,5,10,6,5,8,7,10,5,3,9,84
2007,1371,Central Okanagan Rural,2,1,6,3,3,5,4,2,2,3,3,4,38
2007,1372,West Kelowna,11,26,19,25,17,23,21,25,20,24,24,24,259
2007,1373,Lake Country,5,4,7,4,4,9,5,12,3,3,6,10,72
2007,1374,Glenmore,11,11,15,12,13,12,13,11,14,12,5,12,141
2007,1375,Downtown Kelowna,53,56,66,56,46,36,48,41,36,35,47,54,574
2007,1376,Rutland,22,22,28,25,27,20,22,29,16,23,12,26,272
2007,1377,Okanagan Mission,9,14,13,10,10,6,14,9,4,9,14,14,126
2007,1380,Summerland,9,10,7,13,17,11,13,5,15,12,14,14,140
2007,1390,Enderby,8,6,9,6,13,8,10,9,2,5,3,5,84
2007,1410,Revelstoke,2,6,4,1,8,4,6,5,2,7,4,2,51
2007,1420,Salmon Arm,31,27,27,21,27,31,28,20,20,23,38,34,327
2007,1431,Kamloops Centre North,40,33,24,32,31,37,32,24,24,29,26,31,363
2007,1432,Kamloops Centre South,32,34,24,29,23,24,27,35,27,26,23,24,328
2007,1433,Lower Thompson,18,8,11,9,15,4,11,10,10,8,12,8,124
2007,1440,100 Mile House,19,13,15,9,4,7,12,10,8,13,10,16,136
2007,1450,North Thompson,4,4,3,7,3,1,1,1,3,6,5,4,42
2007,1461,West Cariboo,3,1,5,2,2,3,2,2,3,2,3,4,32
